PLAYER_NAME;POSICIÓN;YEAR;AGE;GP;W;L;W_PCT;MIN;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
Aaron Gordon;PF;2022;26;75;46;29;0,613;31,7;5,8;11,1;0,52;1,2;3,5;0,335;2,3;3,1;0,743;1,7;4,2;5,9;2,5;1,8;0,6;0,6;0,7;2;2,7;15;4,3;6;0;111,1;0,129;0,178;0,136;0,254;11,4;7,2;8,1;33,9;0,085
Aaron Holiday;PG;2022;25;63;34;29;0,54;16,2;2,4;5,4;0,447;0,6;1,6;0,379;0,9;1,1;0,868;0,4;1,6;1,9;2,4;1,1;0,7;0,1;0,3;1,5;1,2;6,3;-0,6;0;0;108,2;0,092;0,133;0,282;0,083;5;4,2;3,8;15,1;0,057
Aaron Nesmith;SF;2022;22;52;32;20;0,615;11;1,4;3,5;0,396;0,6;2,2;0,27;0,4;0,5;0,808;0,3;1,4;1,7;0,4;0,6;0,4;0,1;0;1,3;0,5;3,8;0,4;0;0;104,3;0,117;0,169;0,256;0,1;4,2;3,1;2,8;9,8;0,054
Aaron Wiggins;SF;2022;23;50;13;37;0,26;24,2;3,1;6,7;0,463;0,8;2,8;0,304;1,2;1,7;0,729;1;2,5;3,6;1,4;1,1;0,6;0,2;0,4;1,9;1,3;8,3;-4,7;0;0;112,6;0,098;0,142;0,157;0,099;7,5;7,2;5,8;23,5;0,056
Abdel Nader;SF;2022;28;14;11;3;0,786;10,4;0,9;2,5;0,343;0,3;1;0,286;0,4;0,7;0,6;0,3;1,6;1,9;0,5;0,8;0,6;0,3;0,1;1,4;1;2,4;-0,1;0;0;96;0,145;0,205;0,286;0,267;4;2,6;2,5;9,9;0,079
Admiral Schofield;SG;2022;25;38;10;28;0,263;12,3;1,4;3,4;0,419;0,7;2,1;0,329;0,3;0,4;0,8;0,4;1,9;2,3;0,7;0,6;0,1;0,1;0,1;1,5;0,6;3,8;-3,4;0;0;113,8;0,146;0,214;0,085;0,122;4,6;3,7;3;11,9;0,024
Al Horford;C;2022;35;69;46;23;0,667;29,1;3,9;8,2;0,467;1,3;3,8;0,336;1,2;1,4;0,842;1,6;6,1;7,7;3,4;0,9;0,7;1,3;0,2;1,9;1,2;10,2;5,6;15;0;103,4;0,201;0,285;0,17;0,393;8,1;6,8;6,4;23,8;0,144
Alec Burks;SG;2022;30;81;37;44;0,457;28,6;3,5;9;0,391;1,9;4,8;0,404;2,7;3,3;0,822;0,6;4,3;4,9;3;1,1;1;0,3;0,3;2,7;3;11,7;1,5;2;0;108,1;0,148;0,212;0,238;0,114;8,6;7;6,6;26;0,103
Aleem Ford;SG;2022;24;5;2;3;0,4;14,7;1,2;4;0,3;0,4;3;0,133;0;0;0;0,4;2,6;3;0,4;0,8;0,2;0;0,2;1,4;0,6;2,8;-7;0;0;120,7;0,16;0,31;0,111;0;6,4;7,8;2;16;-0,002
Aleksej Pokusevski;PF;2022;20;61;19;42;0,311;20,2;3;7,5;0,408;0,9;3,2;0,289;0,6;0,8;0,7;1,2;4;5,2;2,1;1,5;0,6;0,6;0,4;1,4;1;7,6;-0,7;5;1;106,1;0,189;0,268;0,192;0,309;6,8;5,3;4;18;0,084
Alex Caruso;PG;2022;28;41;24;17;0,585;28;2,5;6,2;0,398;1;3,1;0,333;1,4;1,8;0,795;0,8;2,8;3,6;4;1,4;1,7;0,4;0,4;2,6;2,3;7,4;2,7;1;0;105,5;0,101;0,145;0,353;0,161;8;6,7;5,4;25,6;0,122
Alex Len;C;2022;28;39;17;22;0,436;15,9;2,4;4,5;0,534;0,2;0,5;0,286;1,1;1,6;0,651;1,3;2,8;4,1;1,2;1,1;0,3;0,6;0,3;2,6;1,4;6;-1,9;2;0;111,4;0,168;0,253;0,127;0,455;5,1;5,6;4,9;17,2;0,042
Alfonzo McKinnie;SF;2022;29;17;8;9;0,471;12,1;1,4;3,6;0,393;0,5;1,6;0,333;0,1;0,5;0,25;0,8;1,2;1,9;0,3;0,4;0,1;0,2;0,2;1,5;0,4;3,5;-3,2;0;0;121,5;0,115;0,175;0,069;0,143;3,5;3,2;2,8;15,1;-0,004
Alize Johnson;PF;2022;26;23;14;9;0,609;7,3;0,7;1,7;0,436;0;0,2;0;0,3;0,5;0,583;1,2;1,4;2,7;0,4;0,5;0,2;0;0,3;0,8;0,5;1,8;-2;0;0;115,7;0,202;0,311;0,2;0;2,7;2,5;1,8;8,5;0,01
Alperen Sengun;PF;2022;19;72;18;54;0,25;20,7;3,5;7,3;0,474;0,4;1,6;0,248;2,3;3,2;0,711;1,9;3,5;5,5;2,6;2;0,8;0,9;0,6;3;3,3;9,6;-4,3;8;0;116,6;0,174;0,271;0,246;0,456;9,4;6,5;7,6;23,4;0,023
